date,bitcoin,covid
20200120,8638.18144,5
20200121,8652.683763,0
20200122,8708.786013,0
20200123,8635.074357,0
20200124,8384.088777,1
20200125,8451.232296,0
20200126,8347.567505,3
20200127,8562.30747,0
20200128,8881.962391,0
20200129,9131.114988,0
20200130,9320.978406,1
20200131,9545.077957,1
20200201,9388.880752,1
20200202,9363.193383,0
20200203,9385.260386,3
20200204,9269.707035,0
20200205,9177.894637,0
20200206,9625.456637,1
20200207,9681.377411,0
20200208,9795.344066,0
20200209,9927.778256,0
20200210,10132.7065,0
20200211,9838.900016,1
20200212,10236.63515,0
20200213,10364.92629,2
20200214,10218.09974,0
20200215,10367.528,0
20200216,9926.353691,0
20200217,9876.234963,0
20200218,9636.624095,0
20200219,10189.99598,0
20200220,9701.037191,0
20200221,9631.484946,19
20200222,9670.858654,1
20200223,9689.086743,0
20200224,9919.551448,18
20200225,9640.469505,0
20200226,9392.869629,6
20200227,8787.978363,0
20200228,8784.995352,3
20200229,8778.470511,0
20200301,8639.591417,0
20200302,8548.948322,2
20200303,8923.044398,44
20200304,8791.112058,21
20200305,8756.961062,19
20200306,9078.578777,65
20200307,9126.636822,0
20200308,8925.213488,0
20200309,8166.313894,259
20200310,7875.750875,224
20200311,7959.228274,0
20200312,7955.306284,291
20200313,5800.208905,277
20200314,5672.681201,414
20200315,5304.149952,36
20200316,5355.187374,0
20200317,4944.702336,1822
20200318,5465.582594,3551
20200319,5363.822853,3351
20200320,6301.063404,4777
20200321,6185.279839,0
20200322,6187.05375,0
20200323,5884.340133,16354
20200324,6455.454688,20341
20200325,6784.318011,0
20200326,6706.985089,16420
20200327,6721.495392,0
20200328,6682.780049,16894
20200329,6229.488343,18093
20200330,5922.489835,19332
20200331,6483.739446,17987
20200401,6446.421347,22559
20200402,6537.336462,24103
20200403,6850.558712,26298
20200404,6776.370094,28103
20200405,6855.933264,32105
20200406,6805.362287,33510
20200407,7278.24397,26493
20200408,7175.667477,29510
20200409,7367.293398,31709
20200410,7321.816614,30859
20200411,6866.398189,35386
20200412,6873.848495,31606
20200413,7043.438864,31633
20200414,6889.863772,29308
20200415,6887.554908,24446
20200416,6718.79995,25802
20200417,7166.582817,28711
20200418,7065.082389,32549
20200419,7277.140586,30023
20200420,7185.870303,28252
20200421,6856.146435,27668
20200422,6904.475773,25634
20200423,7118.388748,24019
20200424,7562.032832,29127
20200425,7497.861764,30719
20200426,7542.303401,38509
20200427,7624.853786,32417
20200428,7776.507543,29218
20200429,7761.758784,22541
20200430,8773.106488,20517
20200501,8767.672623,31379
20200502,8853.774484,31774
20200503,8963.057558,26753
20200504,8904.713817,31839
20200505,8887.505893,29266
20200506,8978.283587,16200
20200507,9371.684273,22267
20200508,9900.678867,22119
20200509,9917.248414,30204
20200510,9617.518195,25870
20200511,8786.655182,26642
20200512,8608.125245,23767
20200513,8815.231245,18044
20200514,9330.986485,21424
20200515,9757.296586,20840
20200516,9362.635557,27090
20200517,9418.918551,22813
20200518,9684.701959,31967
20200519,9723.68015,13227
